"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"5/1/2024 12 a.m. CDT",22297,21735,23865,1568
SOCO,"5/1/2024 1 a.m. CDT",21720,20544,23244,1524
SOCO,"5/1/2024 2 a.m. CDT",21106,19725,22582,1476
SOCO,"5/1/2024 3 a.m. CDT",20747,19388,22192,1445
SOCO,"5/1/2024 4 a.m. CDT",20845,19480,22267,1422
SOCO,"5/1/2024 5 a.m. CDT",21243,20104,22743,1500
SOCO,"5/1/2024 6 a.m. CDT",22402,21579,23771,1369
SOCO,"5/1/2024 7 a.m. CDT",23153,22685,25032,1879
SOCO,"5/1/2024 8 a.m. CDT",23904,23416,26195,2291
SOCO,"5/1/2024 9 a.m. CDT",24475,24231,27135,2660
SOCO,"5/1/2024 10 a.m. CDT",25613,25271,28252,2639
SOCO,"5/1/2024 11 a.m. CDT",27090,26655,29494,2404
SOCO,"5/1/2024 12 p.m. CDT",28483,28183,30841,2358
SOCO,"5/1/2024 1 p.m. CDT",29976,29691,32348,2372
SOCO,"5/1/2024 2 p.m. CDT",31229,30948,33441,2212
SOCO,"5/1/2024 3 p.m. CDT",32323,31998,34191,1868
SOCO,"5/1/2024 4 p.m. CDT",33185,32878,35033,1848
SOCO,"5/1/2024 5 p.m. CDT",33617,33355,35632,2015
SOCO,"5/1/2024 6 p.m. CDT",33204,32955,35159,1955
SOCO,"5/1/2024 7 p.m. CDT",32041,31853,33631,1590
SOCO,"5/1/2024 8 p.m. CDT",30624,30445,32495,1871
SOCO,"5/1/2024 9 p.m. CDT",29375,29137,31148,1773
SOCO,"5/1/2024 10 p.m. CDT",27136,26920,28880,1744
SOCO,"5/1/2024 11 p.m. CDT",24662,24461,26048,1386
SOCO,"5/2/2024 12 a.m. CDT",22998,22435,24098,1100
SOCO,"5/2/2024 1 a.m. CDT",22296,21012,22810,514
SOCO,"5/2/2024 2 a.m. CDT",21540,20162,22254,714
SOCO,"5/2/2024 3 a.m. CDT",21008,19624,21487,479
SOCO,"5/2/2024 4 a.m. CDT",20913,19525,21513,600
SOCO,"5/2/2024 5 a.m. CDT",21501,20132,22034,533
SOCO,"5/2/2024 6 a.m. CDT",23027,21629,23368,341
SOCO,"5/2/2024 7 a.m. CDT",23664,22674,24731,1067
SOCO,"5/2/2024 8 a.m. CDT",24282,23432,25901,1619
SOCO,"5/2/2024 9 a.m. CDT",25065,24440,27117,2052
SOCO,"5/2/2024 10 a.m. CDT",26145,25862,28156,2011
SOCO,"5/2/2024 11 a.m. CDT",27852,27563,29646,1794
SOCO,"5/2/2024 12 p.m. CDT",29473,29173,31205,1732
SOCO,"5/2/2024 1 p.m. CDT",31115,30853,32854,1739
SOCO,"5/2/2024 2 p.m. CDT",32343,32098,34248,1905
SOCO,"5/2/2024 3 p.m. CDT",33128,32896,35610,2482
SOCO,"5/2/2024 4 p.m. CDT",33792,33581,36491,2699
SOCO,"5/2/2024 5 p.m. CDT",33947,33780,36723,2776
SOCO,"5/2/2024 6 p.m. CDT",33446,33240,35517,2071
SOCO,"5/2/2024 7 p.m. CDT",32391,32301,34170,1779
SOCO,"5/2/2024 8 p.m. CDT",31435,31320,33099,1664
SOCO,"5/2/2024 9 p.m. CDT",30301,30109,32451,2150
SOCO,"5/2/2024 10 p.m. CDT",28002,27780,29851,1849
SOCO,"5/2/2024 11 p.m. CDT",25677,25479,26995,1318
SOCO,"5/3/2024 12 a.m. CDT",24195,23548,24507,312
SOCO,"5/3/2024 1 a.m. CDT",23444,22128,23555,111
SOCO,"5/3/2024 2 a.m. CDT",22454,21138,22723,269
SOCO,"5/3/2024 3 a.m. CDT",21938,20600,22263,325
SOCO,"5/3/2024 4 a.m. CDT",21896,20570,22231,335
SOCO,"5/3/2024 5 a.m. CDT",22541,21216,22796,255
SOCO,"5/3/2024 6 a.m. CDT",23628,22523,24078,450
SOCO,"5/3/2024 7 a.m. CDT",23984,23586,24783,799
SOCO,"5/3/2024 8 a.m. CDT",24614,24256,25454,840
SOCO,"5/3/2024 9 a.m. CDT",25271,25226,26227,956
SOCO,"5/3/2024 10 a.m. CDT",26609,26570,27511,902
SOCO,"5/3/2024 11 a.m. CDT",28323,28241,29515,1192
SOCO,"5/3/2024 12 p.m. CDT",30080,29935,31157,1077
SOCO,"5/3/2024 1 p.m. CDT",31388,31235,32240,852
SOCO,"5/3/2024 2 p.m. CDT",31988,31882,32914,926
SOCO,"5/3/2024 3 p.m. CDT",32502,32394,33532,1030
SOCO,"5/3/2024 4 p.m. CDT",32617,32490,33728,1111
SOCO,"5/3/2024 5 p.m. CDT",32286,32169,33202,916
SOCO,"5/3/2024 6 p.m. CDT",31291,31150,32376,1085
SOCO,"5/3/2024 7 p.m. CDT",29983,29867,30817,834
SOCO,"5/3/2024 8 p.m. CDT",29278,29154,30415,1137
SOCO,"5/3/2024 9 p.m. CDT",28373,28176,29811,1438
SOCO,"5/3/2024 10 p.m. CDT",26834,26645,27957,1123
SOCO,"5/3/2024 11 p.m. CDT",25058,24902,25686,628
SOCO,"5/4/2024 12 a.m. CDT",23741,23076,24001,260
SOCO,"5/4/2024 1 a.m. CDT",22333,21838,22837,504
SOCO,"5/4/2024 2 a.m. CDT",21263,20791,21687,424
SOCO,"5/4/2024 3 a.m. CDT",20599,20141,21178,579
SOCO,"5/4/2024 4 a.m. CDT",20716,19879,21409,693
SOCO,"5/4/2024 5 a.m. CDT",20641,19804,21217,576
SOCO,"5/4/2024 6 a.m. CDT",20644,20180,21195,551
SOCO,"5/4/2024 7 a.m. CDT",21065,20609,21675,610
SOCO,"5/4/2024 8 a.m. CDT",22086,21594,22846,760
SOCO,"5/4/2024 9 a.m. CDT",23150,22993,24185,1035
SOCO,"5/4/2024 10 a.m. CDT",24528,24337,25666,1138
SOCO,"5/4/2024 11 a.m. CDT",25928,25714,27319,1391
SOCO,"5/4/2024 12 p.m. CDT",26887,26626,28395,1508
SOCO,"5/4/2024 1 p.m. CDT",27544,27203,29222,1678
SOCO,"5/4/2024 2 p.m. CDT",28105,27743,29755,1650
SOCO,"5/4/2024 3 p.m. CDT",28838,28491,30535,1697
SOCO,"5/4/2024 4 p.m. CDT",29372,29075,31432,2060
SOCO,"5/4/2024 5 p.m. CDT",29737,29511,32036,2299
SOCO,"5/4/2024 6 p.m. CDT",29383,29172,31656,2273
SOCO,"5/4/2024 7 p.m. CDT",28563,28371,30717,2154
SOCO,"5/4/2024 8 p.m. CDT",27758,27554,29793,2035
SOCO,"5/4/2024 9 p.m. CDT",26892,26675,28571,1679
SOCO,"5/4/2024 10 p.m. CDT",25324,25150,26863,1539
SOCO,"5/4/2024 11 p.m. CDT",23714,23567,24763,1049
SOCO,"5/5/2024 12 a.m. CDT",22177,22054,23044,867
SOCO,"5/5/2024 1 a.m. CDT",21365,20738,22057,692
SOCO,"5/5/2024 2 a.m. CDT",20440,19784,21212,772
SOCO,"5/5/2024 3 a.m. CDT",19947,19141,20754,807
SOCO,"5/5/2024 4 a.m. CDT",19801,18771,20601,800
SOCO,"5/5/2024 5 a.m. CDT",19708,18649,20443,735
SOCO,"5/5/2024 6 a.m. CDT",19680,18797,20503,823
SOCO,"5/5/2024 7 a.m. CDT",19686,19096,20638,952
SOCO,"5/5/2024 8 a.m. CDT",21127,20525,22071,944
SOCO,"5/5/2024 9 a.m. CDT",22886,22304,23985,1099
SOCO,"5/5/2024 10 a.m. CDT",24466,24166,25851,1385
SOCO,"5/5/2024 11 a.m. CDT",26293,26019,27663,1370
SOCO,"5/5/2024 12 p.m. CDT",28198,27901,29754,1556
SOCO,"5/5/2024 1 p.m. CDT",29857,29547,31148,1291
SOCO,"5/5/2024 2 p.m. CDT",31090,30757,32412,1322
SOCO,"5/5/2024 3 p.m. CDT",31638,31277,33140,1502
SOCO,"5/5/2024 4 p.m. CDT",31661,31302,32916,1255
SOCO,"5/5/2024 5 p.m. CDT",31146,30801,32392,1246
SOCO,"5/5/2024 6 p.m. CDT",30506,30192,31771,1265
SOCO,"5/5/2024 7 p.m. CDT",29542,29282,30771,1229
SOCO,"5/5/2024 8 p.m. CDT",29042,28924,30301,1259
SOCO,"5/5/2024 9 p.m. CDT",28136,27903,29387,1251
SOCO,"5/5/2024 10 p.m. CDT",26420,26214,27696,1276
SOCO,"5/5/2024 11 p.m. CDT",24348,24158,25147,799
SOCO,"5/6/2024 12 a.m. CDT",22952,22333,23888,936
SOCO,"5/6/2024 1 a.m. CDT",21671,21058,22677,1006
SOCO,"5/6/2024 2 a.m. CDT",21041,20270,22177,1136
SOCO,"5/6/2024 3 a.m. CDT",20664,19901,21853,1189
SOCO,"5/6/2024 4 a.m. CDT",20539,19927,21565,1026
SOCO,"5/6/2024 5 a.m. CDT",21334,20717,22255,921
SOCO,"5/6/2024 6 a.m. CDT",22804,22178,23788,984
SOCO,"5/6/2024 7 a.m. CDT",23666,23405,25122,1456
SOCO,"5/6/2024 8 a.m. CDT",24599,24349,26267,1668
SOCO,"5/6/2024 9 a.m. CDT",25739,25484,27330,1591
SOCO,"5/6/2024 10 a.m. CDT",27281,27045,28753,1472
SOCO,"5/6/2024 11 a.m. CDT",29001,28687,30382,1381
SOCO,"5/6/2024 12 p.m. CDT",30820,30544,31947,1127
SOCO,"5/6/2024 1 p.m. CDT",32416,32190,33473,1057
SOCO,"5/6/2024 2 p.m. CDT",33681,33451,34919,1238
SOCO,"5/6/2024 3 p.m. CDT",34517,34255,35987,1470
SOCO,"5/6/2024 4 p.m. CDT",35055,34776,36620,1565
SOCO,"5/6/2024 5 p.m. CDT",35376,35114,36935,1559
SOCO,"5/6/2024 6 p.m. CDT",34935,34648,36469,1534
SOCO,"5/6/2024 7 p.m. CDT",33822,33546,35199,1377
SOCO,"5/6/2024 8 p.m. CDT",32738,32484,34123,1385
SOCO,"5/6/2024 9 p.m. CDT",31457,31170,32553,1096
SOCO,"5/6/2024 10 p.m. CDT",29058,28767,30167,1109
SOCO,"5/6/2024 11 p.m. CDT",26632,26406,27161,529
SOCO,"5/7/2024 12 a.m. CDT",24953,24375,25598,645
SOCO,"5/7/2024 1 a.m. CDT",23851,22864,24501,650
SOCO,"5/7/2024 2 a.m. CDT",22795,21866,23610,815
SOCO,"5/7/2024 3 a.m. CDT",22079,21165,22924,845
SOCO,"5/7/2024 4 a.m. CDT",22005,21099,22917,912
SOCO,"5/7/2024 5 a.m. CDT",22545,21837,23340,795
SOCO,"5/7/2024 6 a.m. CDT",23663,23205,24396,733
SOCO,"5/7/2024 7 a.m. CDT",24565,24306,25737,1172
SOCO,"5/7/2024 8 a.m. CDT",25523,25263,26825,1302
SOCO,"5/7/2024 9 a.m. CDT",26741,26418,27985,1244
SOCO,"5/7/2024 10 a.m. CDT",28222,27908,29808,1586
SOCO,"5/7/2024 11 a.m. CDT",29848,29515,31426,1578
SOCO,"5/7/2024 12 p.m. CDT",31327,30991,32786,1459
SOCO,"5/7/2024 1 p.m. CDT",32802,32448,34112,1310
SOCO,"5/7/2024 2 p.m. CDT",33836,33509,35237,1401
SOCO,"5/7/2024 3 p.m. CDT",34651,34375,36288,1637
SOCO,"5/7/2024 4 p.m. CDT",35211,34938,36987,1776
SOCO,"5/7/2024 5 p.m. CDT",35176,34764,36698,1522
SOCO,"5/7/2024 6 p.m. CDT",34640,34385,36015,1375
SOCO,"5/7/2024 7 p.m. CDT",33852,33658,35214,1362
SOCO,"5/7/2024 8 p.m. CDT",33152,33017,34346,1194
SOCO,"5/7/2024 9 p.m. CDT",32186,31991,33292,1106
SOCO,"5/7/2024 10 p.m. CDT",29970,29731,30562,592
SOCO,"5/7/2024 11 p.m. CDT",27617,27460,28089,472
SOCO,"5/8/2024 12 a.m. CDT",25679,25461,26090,411
SOCO,"5/8/2024 1 a.m. CDT",24745,24034,25172,427
SOCO,"5/8/2024 2 a.m. CDT",24188,23121,24731,543
SOCO,"5/8/2024 3 a.m. CDT",23499,22435,23961,462
SOCO,"5/8/2024 4 a.m. CDT",23270,22231,23837,567
SOCO,"5/8/2024 5 a.m. CDT",23831,22735,24467,636
SOCO,"5/8/2024 6 a.m. CDT",24863,24125,25578,715
