"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SOCO,"1/1/2020, Central Time",588214,562224,589559,1345
SOCO,"1/2/2020, Central Time",596736,584729,608765,12029
SOCO,"1/3/2020, Central Time",555270,535040,575379,20109
SOCO,"1/4/2020, Central Time",543011,507869,557659,14648
SOCO,"1/5/2020, Central Time",627559,602508,641492,13933
SOCO,"1/6/2020, Central Time",636886,608042,655772,18886
SOCO,"1/7/2020, Central Time",607746,596073,630912,23166
SOCO,"1/8/2020, Central Time",666289,649729,665606,-683
SOCO,"1/9/2020, Central Time",642155,617687,647358,5203
SOCO,"1/10/2020, Central Time",554230,534777,568640,14410
SOCO,"1/11/2020, Central Time",505265,485828,511892,6627
SOCO,"1/12/2020, Central Time",506555,485752,520589,14034
SOCO,"1/13/2020, Central Time",551070,527732,561183,10113
SOCO,"1/14/2020, Central Time",551517,539412,564118,12601
SOCO,"1/15/2020, Central Time",550084,544275,559653,9569
SOCO,"1/16/2020, Central Time",551745,540373,570003,18258
SOCO,"1/17/2020, Central Time",589957,561994,598396,8439
SOCO,"1/18/2020, Central Time",575958,559273,579232,3274
SOCO,"1/19/2020, Central Time",584485,578757,584752,267
SOCO,"1/20/2020, Central Time",767478,732188,740476,-27002
SOCO,"1/21/2020, Central Time",831007,820846,792740,-38267
SOCO,"1/22/2020, Central Time",794350,787146,758285,-36065
SOCO,"1/23/2020, Central Time",701979,670969,689495,-12484
SOCO,"1/24/2020, Central Time",620518,606360,625871,5353
SOCO,"1/25/2020, Central Time",635941,613084,633863,-2078
SOCO,"1/26/2020, Central Time",635537,612236,639421,3884
SOCO,"1/27/2020, Central Time",635836,614083,635318,-518
SOCO,"1/28/2020, Central Time",654580,634030,648933,-5647
SOCO,"1/29/2020, Central Time",670743,627504,666525,-4218
SOCO,"1/30/2020, Central Time",649572,623243,654086,4514
SOCO,"1/31/2020, Central Time",660062,634461,660527,465
SOCO,"2/1/2020, Central Time",628651,603381,614419,-14232
SOCO,"2/2/2020, Central Time",605552,585080,588056,-17496
SOCO,"2/3/2020, Central Time",589430,564923,584992,-4438
SOCO,"2/4/2020, Central Time",546694,537170,554000,7306
SOCO,"2/5/2020, Central Time",539400,530367,551674,12274
SOCO,"2/6/2020, Central Time",554540,531902,565794,11254
SOCO,"2/7/2020, Central Time",672468,643828,645727,-26741
SOCO,"2/8/2020, Central Time",683338,638815,658091,-25247
SOCO,"2/9/2020, Central Time",616863,594994,594823,-22040
SOCO,"2/10/2020, Central Time",613468,579941,611697,-1771
SOCO,"2/11/2020, Central Time",564011,553383,572251,8240
SOCO,"2/12/2020, Central Time",557639,541201,563912,6273
SOCO,"2/13/2020, Central Time",562716,542371,572742,10026
SOCO,"2/14/2020, Central Time",633193,644808,622475,-10718
SOCO,"2/15/2020, Central Time",624422,617997,621062,-3360
SOCO,"2/16/2020, Central Time",591611,562773,599844,8233
SOCO,"2/17/2020, Central Time",594983,572073,600892,5909
SOCO,"2/18/2020, Central Time",569888,543750,584511,14623
SOCO,"2/19/2020, Central Time",573695,551856,593863,20168
SOCO,"2/20/2020, Central Time",662800,619628,672796,9996
SOCO,"2/21/2020, Central Time",711253,686582,689150,-22103
SOCO,"2/22/2020, Central Time",682433,662261,657387,-25046
SOCO,"2/23/2020, Central Time",620966,617179,627273,6307
SOCO,"2/24/2020, Central Time",612316,586934,625348,13032
SOCO,"2/25/2020, Central Time",565281,555407,585646,20365
SOCO,"2/26/2020, Central Time",608136,596049,627852,19716
SOCO,"2/27/2020, Central Time",690189,680822,687168,-3021
SOCO,"2/28/2020, Central Time",688015,673074,686460,-1555
SOCO,"2/29/2020, Central Time",615796,597317,625638,9842
SOCO,"3/1/2020, Central Time",587993,566295,595770,7777
SOCO,"3/2/2020, Central Time",583516,563705,580642,-2874
SOCO,"3/3/2020, Central Time",551400,530166,553856,2456
SOCO,"3/4/2020, Central Time",559474,535846,564303,4829
SOCO,"3/5/2020, Central Time",592463,568633,593624,1161
SOCO,"3/6/2020, Central Time",598985,577549,593671,-5314
SOCO,"3/7/2020, Central Time",598947,593456,577311,-21636
SOCO,"3/8/2020, Central Time",548937,544680,523332,-25605
SOCO,"3/9/2020, Central Time",571280,554201,553287,-17993
SOCO,"3/10/2020, Central Time",545610,530242,539984,-5626
SOCO,"3/11/2020, Central Time",544184,529942,538585,-5599
SOCO,"3/12/2020, Central Time",547841,532658,544637,-3204
SOCO,"3/13/2020, Central Time",536396,524622,526197,-10199
SOCO,"3/14/2020, Central Time",514091,496955,518392,4301
SOCO,"3/15/2020, Central Time",501027,484666,507536,6509
SOCO,"3/16/2020, Central Time",547690,526476,559723,12033
SOCO,"3/17/2020, Central Time",556529,540742,566813,10284
SOCO,"3/18/2020, Central Time",557148,545650,565980,8832
SOCO,"3/19/2020, Central Time",569883,556788,578048,8165
SOCO,"3/20/2020, Central Time",564007,548581,573329,9322
SOCO,"3/21/2020, Central Time",503572,494909,512045,8473
SOCO,"3/22/2020, Central Time",484172,473856,499464,15292
SOCO,"3/23/2020, Central Time",541530,531451,553464,11934
SOCO,"3/24/2020, Central Time",552795,546180,556060,3265
SOCO,"3/25/2020, Central Time",557383,530703,559746,2363
SOCO,"3/26/2020, Central Time",550620,534921,549620,-1000
SOCO,"3/27/2020, Central Time",569372,554593,563605,-5767
SOCO,"3/28/2020, Central Time",563855,541196,556372,-7483
SOCO,"3/29/2020, Central Time",540086,519637,539801,-285
SOCO,"3/30/2020, Central Time",523689,526163,527160,3471
SOCO,"3/31/2020, Central Time",503883,501550,512592,8709
SOCO,"4/1/2020, Central Time",506777,527141,512638,5861
SOCO,"4/2/2020, Central Time",513437,498885,515307,1870
SOCO,"4/3/2020, Central Time",504114,499360,514206,10092
SOCO,"4/4/2020, Central Time",478817,463741,489468,10651
SOCO,"4/5/2020, Central Time",485802,466670,491364,5562
SOCO,"4/6/2020, Central Time",532224,519252,537859,5635
SOCO,"4/7/2020, Central Time",530710,531734,540636,9926
SOCO,"4/8/2020, Central Time",560189,529909,566684,6495
SOCO,"4/9/2020, Central Time",569155,547461,562037,-7118
SOCO,"4/10/2020, Central Time",475394,477336,476411,1017
SOCO,"4/11/2020, Central Time",469384,453665,479655,10271
SOCO,"4/12/2020, Central Time",471839,462067,480661,8822
SOCO,"4/13/2020, Central Time",512574,521306,516317,3743
SOCO,"4/14/2020, Central Time",507986,498594,534110,26124
SOCO,"4/15/2020, Central Time",493606,494716,521240,27634
SOCO,"4/16/2020, Central Time",502518,480098,506162,3644
SOCO,"4/17/2020, Central Time",498808,475256,504290,5482
SOCO,"4/18/2020, Central Time",480847,445662,490346,9499
SOCO,"4/19/2020, Central Time",482773,442501,497584,14811
SOCO,"4/20/2020, Central Time",506498,503160,516577,10079
SOCO,"4/21/2020, Central Time",512034,507626,524025,11991
SOCO,"4/22/2020, Central Time",504461,497101,516460,11999
SOCO,"4/23/2020, Central Time",501157,494345,519007,17850
SOCO,"4/24/2020, Central Time",502957,491872,520693,17736
SOCO,"4/25/2020, Central Time",496845,476267,512500,15655
SOCO,"4/26/2020, Central Time",463078,457731,485676,22598
SOCO,"4/27/2020, Central Time",501042,485434,524237,23195
SOCO,"4/28/2020, Central Time",515350,504220,543096,27746
SOCO,"4/29/2020, Central Time",510893,496240,535095,24202
SOCO,"4/30/2020, Central Time",492942,477662,527986,35044
SOCO,"5/1/2020, Central Time",490185,473845,526750,36565
SOCO,"5/2/2020, Central Time",487733,465773,519785,32052
SOCO,"5/3/2020, Central Time",515082,499135,551935,36853
SOCO,"5/4/2020, Central Time",600176,572824,627403,27227
SOCO,"5/5/2020, Central Time",613231,580509,641049,27818
SOCO,"5/6/2020, Central Time",537274,515255,574195,36921
SOCO,"5/7/2020, Central Time",503813,482551,527591,23778
SOCO,"5/8/2020, Central Time",498567,473687,528631,30064
SOCO,"5/9/2020, Central Time",467561,448575,506073,38512
SOCO,"5/10/2020, Central Time",473318,453023,505558,32240
SOCO,"5/11/2020, Central Time",510540,499944,543437,32897
SOCO,"5/12/2020, Central Time",523311,510843,556660,33349
SOCO,"5/13/2020, Central Time",544610,525752,580613,36003
