BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh),Timestamp,Month,Scaling Factor,Scaled Demand (MWh)
SOCO,1/1/2024 12 a.m. CST,25124,24787.0,26316,1192,2024-01-01 00:00:00,2024-01,0.5039910125944068,12662.270200421877
SOCO,1/1/2024 1 a.m. CST,25181,24570.0,26342,1161,2024-01-01 01:00:00,2024-01,0.5039910125944068,12690.997688139758
SOCO,1/1/2024 2 a.m. CST,25567,24499.0,26657,1090,2024-01-01 02:00:00,2024-01,0.5039910125944068,12885.538219001199
SOCO,1/1/2024 3 a.m. CST,25573,24501.0,26786,1213,2024-01-01 03:00:00,2024-01,0.5039910125944068,12888.562165076766
SOCO,1/1/2024 4 a.m. CST,25481,24801.0,26641,1160,2024-01-01 04:00:00,2024-01,0.5039910125944068,12842.19499191808
SOCO,1/1/2024 5 a.m. CST,25724,25386.0,26573,849,2024-01-01 05:00:00,2024-01,0.5039910125944068,12964.664807978521
SOCO,1/1/2024 6 a.m. CST,26514,26194.0,27457,943,2024-01-01 06:00:00,2024-01,0.5039910125944068,13362.817707928103
SOCO,1/1/2024 7 a.m. CST,27203,26874.0,28342,1139,2024-01-01 07:00:00,2024-01,0.5039910125944068,13710.06751560565
SOCO,1/1/2024 8 a.m. CST,27372,27141.0,28334,962,2024-01-01 08:00:00,2024-01,0.5039910125944068,13795.241996734103
SOCO,1/1/2024 9 a.m. CST,27055,26808.0,28016,961,2024-01-01 09:00:00,2024-01,0.5039910125944068,13635.476845741676
SOCO,1/1/2024 10 a.m. CST,26519,26296.0,27000,481,2024-01-01 10:00:00,2024-01,0.5039910125944068,13365.337662991074
SOCO,1/1/2024 11 a.m. CST,26217,25689.0,26853,636,2024-01-01 11:00:00,2024-01,0.5039910125944068,13213.132377187563
SOCO,1/1/2024 12 p.m. CST,25381,24828.0,26176,795,2024-01-01 12:00:00,2024-01,0.5039910125944068,12791.79589065864
SOCO,1/1/2024 1 p.m. CST,24956,24060.0,25742,786,2024-01-01 13:00:00,2024-01,0.5039910125944068,12577.599710306016
SOCO,1/1/2024 2 p.m. CST,24315,23392.0,25230,915,2024-01-01 14:00:00,2024-01,0.5039910125944068,12254.541471233002
SOCO,1/1/2024 3 p.m. CST,23699,23176.0,24865,1166,2024-01-01 15:00:00,2024-01,0.5039910125944068,11944.083007474846
SOCO,1/1/2024 4 p.m. CST,24282,23726.0,25357,1075,2024-01-01 16:00:00,2024-01,0.5039910125944068,12237.909767817386
SOCO,1/1/2024 5 p.m. CST,25121,25012.0,25919,798,2024-01-01 17:00:00,2024-01,0.5039910125944068,12660.758227384094
SOCO,1/1/2024 6 p.m. CST,26905,26708.0,27606,701,2024-01-01 18:00:00,2024-01,0.5039910125944068,13559.878193852515
SOCO,1/1/2024 7 p.m. CST,27400,27271.0,28427,1027,2024-01-01 19:00:00,2024-01,0.5039910125944068,13809.353745086746
SOCO,1/1/2024 8 p.m. CST,27544,27352.0,28517,973,2024-01-01 20:00:00,2024-01,0.5039910125944068,13881.928450900341
