bus,p_kw,type,name
bus_-84.91585_32.610419_500,0.034808544222355665,urban,"Columbus, GA--AL (Nearest Bus bus_-84.91585_32.610419_500)"
bus_-84.107109_31.368256_500,0.013146298361499529,urban,"Albany, GA (Nearest Bus bus_-84.107109_31.368256_500)"
bus_-83.802844454_34.2192078850001_500,0.017672334219782104,urban,"Athens-Clarke County, GA (Nearest Bus bus_-83.802844454_34.2192078850001_500)"
bus_-84.56829755_33.9941730620001_500,0.6861809384918933,urban,"Atlanta, GA (Bus bus_-84.56829755_33.9941730620001_500)"
bus_-84.5094759409999_33.553044421_500,0.6861809384918933,urban,"Atlanta, GA (Bus bus_-84.5094759409999_33.553044421_500)"
bus_-84.379014_33.966887_500,0.6861809384918933,urban,"Atlanta, GA (Bus bus_-84.379014_33.966887_500)"
bus_-84.36726695_33.4820237920001_500,0.6861809384918933,urban,"Atlanta, GA (Bus bus_-84.36726695_33.4820237920001_500)"
bus_-84.2137904479999_33.9324796670001_500,0.6861809384918933,urban,"Atlanta, GA (Bus bus_-84.2137904479999_33.9324796670001_500)"
bus_-84.12644803_33.638013416_500,0.6861809384918933,urban,"Atlanta, GA (Bus bus_-84.12644803_33.638013416_500)"
bus_-82.412784577_33.4526355260001_500,0.053089062365960366,urban,"Augusta-Richmond County, GA--SC (Nearest Bus bus_-82.412784577_33.4526355260001_500)"
bus_-81.6808828639999_31.293497834_500,0.007003379943381659,urban,"Brunswick, GA (Nearest Bus bus_-81.6808828639999_31.293497834_500)"
bus_-84.922402_34.12149_500,0.007202813759972549,urban,"Cartersville, GA (Nearest Bus bus_-84.922402_34.12149_500)"
bus_-84.9637979999999_35.0367008000001_500,0.05231013125160847,urban,"Chattanooga, TN--GA (Nearest Bus bus_-84.9637979999999_35.0367008000001_500)"
bus_-84.9081879999999_34.703138_500,0.011699613965857425,urban,"Dalton, GA (Nearest Bus bus_-84.9081879999999_34.703138_500)"
bus_-83.802844454_34.2192078850001_500,0.017959474993566097,urban,"Gainesville, GA (Bus bus_-83.802844454_34.2192078850001_500)"
bus_-81.6808828639999_31.293497834_500,0.007062674787681221,urban,"Hinesville, GA (Nearest Bus bus_-81.6808828639999_31.293497834_500)"
bus_-83.812840872_33.0606335040001_500,0.018882388264562067,urban,"Macon, GA (Nearest Bus bus_-83.812840872_33.0606335040001_500)"
bus_-84.922402_34.12149_500,0.00835220039461268,urban,"Rome, GA (Nearest Bus bus_-84.922402_34.12149_500)"
bus_-81.180669529_32.353683989_500,0.035779634554345026,urban,"Savannah, GA (Nearest Bus bus_-81.180669529_32.353683989_500)"
bus_-83.548801187_31.4764722240001_500,0.010580423779703182,urban,"Valdosta, GA (Nearest Bus bus_-83.548801187_31.4764722240001_500)"
bus_-83.599589737_32.5650738590001_500,0.018270086643218667,urban,"Warner Robins, GA (Bus bus_-83.599589737_32.5650738590001_500)"
