generator_name,longitude,latitude,type,p_mw,vm_pu,sn_mva,bus_id,bus_x,bus_y
Bowen,-84.9222,34.1256,coal,3498.6,1.0,3498.6,bus_-84.922402_34.12149_500,-84.922402,34.12149
Scherer,-83.8075,33.0606,coal,2673.0,1.0,2673.0,bus_-83.812840872_33.0606335040001_500,-83.812840872,33.0606335040001
Wansley,-85.032329,33.41342,coal,1956.8,1.0,1956.8,bus_-85.030620896_33.4112409800001_500,-85.030620896,33.4112409800001
Jack McDonough,-84.4758,33.8239,natural gas,2848.4,1.0,2848.4,bus_-84.379014_33.966887_500,-84.379014,33.966887
McIntosh Combined Cycle Facility,-81.1817,32.3478,natural gas,1376.6,1.0,1376.6,bus_-81.180669529_32.353683989_500,-81.180669529,32.353683989
Wansley Combined Cycle,-85.036988,33.406385,natural gas,1239.0,1.0,1239.0,bus_-85.036541315_33.4072087540001_500,-85.036541315,33.4072087540001
Thomas A Smith Energy Facility,-84.9175,34.7094,natural gas,1192.0,1.0,1192.0,bus_-84.9081879999999_34.703138_500,-84.9081879999999,34.703138
Tenaska Georgia Generation Facility,-84.9996,33.3516,natural gas,1099.2,1.0,1099.2,bus_-85.036541315_33.4072087540001_500,-85.036541315,33.4072087540001
Dahlberg,-83.397721,34.042267,natural gas,919.0,1.0,919.0,bus_-83.802844454_34.2192078850001_500,-83.802844454,34.2192078850001
McIntosh,-81.168347,32.356287,natural gas,810.4,1.0,810.4,bus_-81.180669529_32.353683989_500,-81.180669529,32.353683989
Yates,-84.8986,33.4622,natural gas,807.4,1.0,807.4,bus_-84.905481557_33.351588066_500,-84.905481557,33.351588066
Vogtle,-81.7625,33.1427,nuclear,2430.0,1.0,2430.0,bus_-81.762670005_33.145515689_500,-81.762670005,33.145515689
Edwin I Hatch,-82.3447,31.9342,nuclear,1848.0,1.0,1848.0,bus_-82.345245457_31.9335248560001_500,-82.345245457,31.9335248560001
Rocky Mountain Hydroelectric Plant,-85.303942,34.355538,pumped storage,847.8,1.0,847.8,bus_-84.8828079529999_34.38450512_500,-84.8828079529999,34.38450512
