bus,p_kw,type,name
bus_-84.91585_32.610419_500,278962.20000000007,urban,"Columbus, GA--AL (Nearest Bus bus_-84.91585_32.610419_500)"
bus_-84.91585_32.610419_500,22836.000000000004,urban,"Valley--Lanett, AL--GA (Nearest Bus bus_-84.91585_32.610419_500)"
bus_-84.107109_31.368256_500,105356.90000000001,urban,"Albany, GA (Nearest Bus bus_-84.107109_31.368256_500)"
bus_-84.107109_31.368256_500,21016.600000000002,urban,"Americus, GA (Nearest Bus bus_-84.107109_31.368256_500)"
bus_-83.802844454_34.2192078850001_500,141629.4,urban,"Athens-Clarke County, GA (Nearest Bus bus_-83.802844454_34.2192078850001_500)"
bus_-84.56829755_33.9941730620001_500,916530.4500000001,urban,"Atlanta, GA (Bus bus_-84.56829755_33.9941730620001_500)"
bus_-84.5094759409999_33.553044421_500,916530.4500000001,urban,"Atlanta, GA (Bus bus_-84.5094759409999_33.553044421_500)"
bus_-84.379014_33.966887_500,916530.4500000001,urban,"Atlanta, GA (Bus bus_-84.379014_33.966887_500)"
bus_-84.36726695_33.4820237920001_500,916530.4500000001,urban,"Atlanta, GA (Bus bus_-84.36726695_33.4820237920001_500)"
bus_-84.2137904479999_33.9324796670001_500,916530.4500000001,urban,"Atlanta, GA (Bus bus_-84.2137904479999_33.9324796670001_500)"
bus_-84.12644803_33.638013416_500,916530.4500000001,urban,"Atlanta, GA (Bus bus_-84.12644803_33.638013416_500)"
bus_-82.412784577_33.4526355260001_500,425465.7,urban,"Augusta-Richmond County, GA--SC (Nearest Bus bus_-82.412784577_33.4526355260001_500)"
bus_-84.107109_31.368256_500,13329.800000000001,urban,"Bainbridge, GA (Nearest Bus bus_-84.107109_31.368256_500)"
bus_-81.6808828639999_31.293497834_500,56126.4,urban,"Brunswick, GA (Nearest Bus bus_-81.6808828639999_31.293497834_500)"
bus_-84.8828079529999_34.38450512_500,34642.3,urban,"Calhoun, GA (Nearest Bus bus_-84.8828079529999_34.38450512_500)"
bus_-84.856345539_33.7407280740001_500,47159.200000000004,urban,"Carrollton, GA (Nearest Bus bus_-84.856345539_33.7407280740001_500)"
bus_-84.922402_34.12149_500,57724.700000000004,urban,"Cartersville, GA (Nearest Bus bus_-84.922402_34.12149_500)"
bus_-84.9637979999999_35.0367008000001_500,419223.2,urban,"Chattanooga, TN--GA (Nearest Bus bus_-84.9637979999999_35.0367008000001_500)"
bus_-83.802844454_34.2192078850001_500,20435.8,urban,"Cornelia--Baldwin, GA (Nearest Bus bus_-83.802844454_34.2192078850001_500)"
bus_-84.9081879999999_34.703138_500,93762.90000000002,urban,"Dalton, GA (Nearest Bus bus_-84.9081879999999_34.703138_500)"
bus_-82.347622_31.934082_500,15569.400000000001,urban,"Douglas, GA (Nearest Bus bus_-82.347622_31.934082_500)"
bus_-82.859392_33.119922_500,23098.900000000005,urban,"Dublin, GA (Nearest Bus bus_-82.859392_33.119922_500)"
bus_-83.802844454_34.2192078850001_500,143930.6,urban,"Gainesville, GA (Bus bus_-83.802844454_34.2192078850001_500)"
bus_-81.6808828639999_31.293497834_500,56601.60000000001,urban,"Hinesville, GA (Nearest Bus bus_-81.6808828639999_31.293497834_500)"
bus_-83.802844454_34.2192078850001_500,11487.300000000001,urban,"Jefferson, GA (Nearest Bus bus_-83.802844454_34.2192078850001_500)"
bus_-81.6808828639999_31.293497834_500,13926.000000000002,urban,"Jesup, GA (Nearest Bus bus_-81.6808828639999_31.293497834_500)"
bus_-84.905481557_33.351588066_500,38366.9,urban,"LaGrange, GA (Nearest Bus bus_-84.905481557_33.351588066_500)"
bus_-83.812840872_33.0606335040001_500,151327.0,urban,"Macon, GA (Nearest Bus bus_-83.812840872_33.0606335040001_500)"
bus_-82.859392_33.119922_500,32788.8,urban,"Milledgeville, GA (Nearest Bus bus_-82.859392_33.119922_500)"
bus_-83.802844454_34.2192078850001_500,17439.4,urban,"Monroe, GA (Nearest Bus bus_-83.802844454_34.2192078850001_500)"
bus_-83.548801187_31.4764722240001_500,20544.7,urban,"Moultrie, GA (Nearest Bus bus_-83.548801187_31.4764722240001_500)"
bus_-84.922402_34.12149_500,66936.1,urban,"Rome, GA (Nearest Bus bus_-84.922402_34.12149_500)"
bus_-81.6808828639999_31.293497834_500,38093.0,urban,"St. Marys--Kingsland, GA (Nearest Bus bus_-81.6808828639999_31.293497834_500)"
bus_-81.180669529_32.353683989_500,286744.7,urban,"Savannah, GA (Nearest Bus bus_-81.180669529_32.353683989_500)"
bus_-81.180669529_32.353683989_500,39945.40000000001,urban,"Statesboro, GA (Nearest Bus bus_-81.180669529_32.353683989_500)"
bus_-83.812840872_33.0606335040001_500,15857.600000000002,urban,"Thomaston, GA (Nearest Bus bus_-83.812840872_33.0606335040001_500)"
bus_-84.107109_31.368256_500,26552.900000000005,urban,"Thomasville, GA (Nearest Bus bus_-84.107109_31.368256_500)"
bus_-83.548801187_31.4764722240001_500,26132.700000000004,urban,"Tifton, GA (Bus bus_-83.548801187_31.4764722240001_500)"
bus_-83.802844454_34.2192078850001_500,11930.600000000002,urban,"Toccoa, GA (Nearest Bus bus_-83.802844454_34.2192078850001_500)"
bus_-83.548801187_31.4764722240001_500,84793.50000000001,urban,"Valdosta, GA (Nearest Bus bus_-83.548801187_31.4764722240001_500)"
bus_-82.347622_31.934082_500,14786.2,urban,"Vidalia, GA (Nearest Bus bus_-82.347622_31.934082_500)"
bus_-83.599589737_32.5650738590001_500,146419.90000000002,urban,"Warner Robins, GA (Bus bus_-83.599589737_32.5650738590001_500)"
