generator_name,longitude,latitude,type,p_mw,vm_pu,sn_mva,bus_id,bus_x,bus_y
Bowen,-84.9222,34.1256,coal,3498.6,1.0,3498.6,bus_-84.925460224_34.1256913120001_230,-84.925460224,34.1256913120001
Scherer,-83.8075,33.0606,coal,2673.0,1.0,2673.0,bus_-83.812840872_33.0606335040001_500,-83.812840872,33.0606335040001
Wansley,-85.032329,33.41342,coal,1956.8,1.0,1956.8,bus_-85.033574958_33.412337881_230,-85.033574958,33.412337881
Jack McDonough,-84.4758,33.8239,natural gas,2848.4,1.0,2848.4,bus_-84.47678_33.822838_230,-84.47678,33.822838
McIntosh Combined Cycle Facility,-81.1817,32.3478,natural gas,1376.6,1.0,1376.6,bus_-81.181500198_32.3486920660001_230,-81.181500198,32.3486920660001
Wansley Combined Cycle,-85.036988,33.406385,natural gas,1239.0,1.0,1239.0,bus_-85.036541315_33.4072087540001_500,-85.036541315,33.4072087540001
Thomas A Smith Energy Facility,-84.9175,34.7094,natural gas,1192.0,1.0,1192.0,bus_-84.922795_34.708916_230,-84.922795,34.708916
Tenaska Georgia Generation Facility,-84.9996,33.3516,natural gas,1099.2,1.0,1099.2,bus_-85.0380127349999_33.40297918_230,-85.0380127349999,33.40297918
Vogtle,-81.7625,33.1427,nuclear,2430.0,1.0,2430.0,bus_-81.762670005_33.145515689_230,-81.762670005,33.145515689
Edwin I Hatch,-82.3447,31.9342,nuclear,1848.0,1.0,1848.0,bus_-82.345245457_31.9335248560001_500,-82.345245457,31.9335248560001
