bus,p_kw,type,name
bus_-84.8721919979999_32.549335335_230,278962.20000000007,urban,"Columbus, GA--AL (Bus bus_-84.8721919979999_32.549335335_230)"
bus_-84.97468485_32.823139558_230,22836.000000000004,urban,"Valley--Lanett, AL--GA (Nearest Bus bus_-84.97468485_32.823139558_230)"
bus_-84.212556_31.635135_230,105356.90000000001,urban,"Albany, GA (Nearest Bus bus_-84.212556_31.635135_230)"
bus_-84.211639_32.097651_230,21016.600000000002,urban,"Americus, GA (Bus bus_-84.211639_32.097651_230)"
bus_-83.511241783_33.943880656_230,23604.899999999998,urban,"Athens-Clarke County, GA (Bus bus_-83.511241783_33.943880656_230)"
bus_-83.5111919999999_33.9445040000001_230,23604.899999999998,urban,"Athens-Clarke County, GA (Bus bus_-83.5111919999999_33.9445040000001_230)"
bus_-83.51079_33.944381_230,23604.899999999998,urban,"Athens-Clarke County, GA (Bus bus_-83.51079_33.944381_230)"
bus_-83.392964459_33.971206341_230,23604.899999999998,urban,"Athens-Clarke County, GA (Bus bus_-83.392964459_33.971206341_230)"
bus_-83.346124915_33.976617391_230,23604.899999999998,urban,"Athens-Clarke County, GA (Bus bus_-83.346124915_33.976617391_230)"
bus_-83.3164465309999_33.886653219_230,23604.899999999998,urban,"Athens-Clarke County, GA (Bus bus_-83.3164465309999_33.886653219_230)"
bus_-84.8015896899999_34.05831721_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.8015896899999_34.05831721_230)"
bus_-84.785657127_34.004154832_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.785657127_34.004154832_230)"
bus_-84.7855132_33.9616135_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.7855132_33.9616135_230)"
bus_-84.768907836_34.0186239070001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.768907836_34.0186239070001_230)"
bus_-84.740286206_33.9720382350001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.740286206_33.9720382350001_230)"
bus_-84.709532714_33.93503263_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.709532714_33.93503263_230)"
bus_-84.70418621_33.7818781290001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.70418621_33.7818781290001_230)"
bus_-84.666376452_33.7395165020001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.666376452_33.7395165020001_230)"
bus_-84.649114528_34.061610166_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.649114528_34.061610166_230)"
bus_-84.6210629139999_33.629375172_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.6210629139999_33.629375172_230)"
bus_-84.615712743_33.685671477_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.615712743_33.685671477_230)"
bus_-84.610785178_33.932383477_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.610785178_33.932383477_230)"
bus_-84.609943544_33.931858912_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.609943544_33.931858912_230)"
bus_-84.609939736_33.932067843_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.609939736_33.932067843_230)"
bus_-84.6091463129999_33.945352374_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.6091463129999_33.945352374_230)"
bus_-84.6053541959999_33.9809474080001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.6053541959999_33.9809474080001_230)"
bus_-84.59876_33.70527_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.59876_33.70527_230)"
bus_-84.597968227_33.8865273430001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.597968227_33.8865273430001_230)"
bus_-84.585282072_34.0500305300001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.585282072_34.0500305300001_230)"
bus_-84.585155_33.7227310000001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.585155_33.7227310000001_230)"
bus_-84.56829755_33.9941730620001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.56829755_33.9941730620001_230)"
bus_-84.5616075789999_34.0280619700001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.5616075789999_34.0280619700001_230)"
bus_-84.5589722239999_33.5389229240001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.5589722239999_33.5389229240001_230)"
bus_-84.5545701999999_34.0568862000001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.5545701999999_34.0568862000001_230)"
bus_-84.550958558_33.6809141310001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.550958558_33.6809141310001_230)"
bus_-84.547113_33.747367_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.547113_33.747367_230)"
bus_-84.535474383_33.961651703_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.535474383_33.961651703_230)"
bus_-84.526279_33.614381_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.526279_33.614381_230)"
bus_-84.5238669999999_33.5857590000001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.5238669999999_33.5857590000001_230)"
bus_-84.513451_34.085263_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.513451_34.085263_230)"
bus_-84.5094759409999_33.553044421_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.5094759409999_33.553044421_230)"
bus_-84.5086713319999_34.183514163_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.5086713319999_34.183514163_230)"
bus_-84.498507132_33.74905363_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.498507132_33.74905363_230)"
bus_-84.489355128_33.9008211290001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.489355128_33.9008211290001_230)"
bus_-84.47678_33.822838_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.47678_33.822838_230)"
bus_-84.4746876679999_33.8263787450001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.4746876679999_33.8263787450001_230)"
bus_-84.471254034_33.886227434_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.471254034_33.886227434_230)"
bus_-84.470353228_33.864300633_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.470353228_33.864300633_230)"
bus_-84.470308_33.885683_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.470308_33.885683_230)"
bus_-84.467207_34.098673_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.467207_34.098673_230)"
bus_-84.463415362_33.6760333940001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.463415362_33.6760333940001_230)"
bus_-84.4605457_33.4842607_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.4605457_33.4842607_230)"
bus_-84.43057_33.7791280000001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.43057_33.7791280000001_230)"
bus_-84.420117122_33.9658643590001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.420117122_33.9658643590001_230)"
bus_-84.4069949999999_33.7723280000001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.4069949999999_33.7723280000001_230)"
bus_-84.40447_33.763171_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.40447_33.763171_230)"
bus_-84.395209475_33.9662122830001_230,38726.63873239437,urban,"Atlanta, GA (Bus bus_-84.395209475_33.9662122830001_230)"
