from_bus,to_bus,hv_voltage_kv,lv_voltage_kv,std_type
bus_-84.922402_34.12149_230,bus_-84.922402_34.12149_500,500,230,Standard Transformer
bus_-84.905481557_33.351588066_230,bus_-84.905481557_33.351588066_500,500,230,Standard Transformer
bus_-84.856345539_33.7407280740001_230,bus_-84.856345539_33.7407280740001_500,500,230,Standard Transformer
bus_-84.56829755_33.9941730620001_230,bus_-84.56829755_33.9941730620001_500,500,230,Standard Transformer
bus_-84.5094759409999_33.553044421_230,bus_-84.5094759409999_33.553044421_500,500,230,Standard Transformer
bus_-84.379014_33.966887_230,bus_-84.379014_33.966887_500,500,230,Standard Transformer
bus_-84.36726695_33.4820237920001_230,bus_-84.36726695_33.4820237920001_500,500,230,Standard Transformer
bus_-84.337395854_34.326964897_230,bus_-84.337395854_34.326964897_500,500,230,Standard Transformer
bus_-84.2137904479999_33.9324796670001_230,bus_-84.2137904479999_33.9324796670001_500,500,230,Standard Transformer
bus_-84.12644803_33.638013416_230,bus_-84.12644803_33.638013416_500,500,230,Standard Transformer
bus_-84.107109_31.368256_230,bus_-84.107109_31.368256_500,500,230,Standard Transformer
bus_-83.802844454_34.2192078850001_230,bus_-83.802844454_34.2192078850001_500,500,230,Standard Transformer
bus_-83.599589737_32.5650738590001_230,bus_-83.599589737_32.5650738590001_500,500,230,Standard Transformer
bus_-83.548801187_31.4764722240001_230,bus_-83.548801187_31.4764722240001_500,500,230,Standard Transformer
bus_-82.412784577_33.4526355260001_230,bus_-82.412784577_33.4526355260001_500,500,230,Standard Transformer
bus_-82.347622_31.934082_230,bus_-82.347622_31.934082_500,500,230,Standard Transformer
bus_-81.762670005_33.145515689_230,bus_-81.762670005_33.145515689_500,500,230,Standard Transformer
bus_-81.6808828639999_31.293497834_230,bus_-81.6808828639999_31.293497834_500,500,230,Standard Transformer
bus_-81.180669529_32.353683989_230,bus_-81.180669529_32.353683989_500,500,230,Standard Transformer
